vehicle_id,class,avg_mph,max_mph,min_mph,frames_tracked,over_threshold
1,car,3.0,13.8,0.1,243,YES
2,car,7.6,12.9,3.2,36,YES
3,car,4.9,11.6,0.7,109,YES
4,car,3.1,17.7,0.0,125,YES
5,car,4.4,4.9,3.8,2,no
6,truck,3.3,16.2,0.2,394,YES
8,car,61.0,121.0,19.5,77,YES
9,truck,10.6,22.8,0.7,22,YES
11,car,99.7,206.9,1.8,42,YES
13,car,14.0,26.4,6.1,17,YES
15,car,1.5,11.8,0.0,1198,YES
16,car,5.9,10.6,2.3,8,YES
18,car,7.6,10.1,5.3,4,YES
19,car,60.1,90.9,28.6,35,YES
21,car,91.4,118.6,59.7,26,YES
22,car,59.7,112.9,7.3,13,YES
25,motorcycle,44.7,56.5,33.2,22,YES
26,car,13.4,49.3,0.3,38,YES
27,car,17.6,46.7,1.3,18,YES
29,car,24.2,52.1,4.7,5,YES
32,car,28.6,49.6,18.3,38,YES
33,car,91.1,147.0,39.7,50,YES
35,truck,89.4,122.4,36.4,9,YES
36,car,55.0,171.6,1.5,16,YES
37,car,71.8,116.9,46.0,29,YES
43,car,95.1,128.9,63.0,9,YES
45,car,71.6,115.9,8.3,17,YES
49,car,78.6,190.2,6.8,60,YES
50,car,33.3,33.3,33.3,1,YES
52,car,79.8,91.2,75.2,4,YES
53,truck,4.1,9.2,0.9,58,no
56,car,72.0,96.5,58.1,6,YES
58,truck,3.5,15.3,0.0,133,YES
60,car,82.0,184.6,0.8,34,YES
62,car,46.8,70.4,5.2,19,YES
66,car,12.5,47.0,1.9,17,YES
68,car,83.6,189.7,4.8,44,YES
70,car,77.5,142.9,18.3,59,YES
71,car,54.2,54.2,54.2,1,YES
76,car,95.5,141.4,56.4,42,YES
78,car,5.2,12.5,0.5,53,YES
80,car,81.5,163.4,19.6,56,YES
90,car,110.7,261.3,32.1,21,YES
91,car,96.2,184.6,35.6,46,YES
92,truck,64.8,139.4,0.4,92,YES
96,car,47.8,54.5,36.8,7,YES
100,car,18.0,50.0,0.7,17,YES
101,car,80.0,114.3,69.0,6,YES
102,car,11.6,16.3,8.7,22,YES
104,car,3.7,8.7,0.7,61,no
105,car,74.5,121.0,31.3,16,YES
106,car,77.0,229.9,3.3,81,YES
111,car,48.1,85.4,9.7,10,YES
114,car,8.2,27.1,0.0,7,YES
117,car,3.7,17.3,0.2,39,YES
120,car,121.8,163.0,81.4,13,YES
122,car,81.2,182.7,2.0,76,YES
128,car,84.0,139.7,65.3,5,YES
131,car,5.1,13.6,0.7,152,YES
134,car,85.6,153.4,34.4,53,YES
135,car,2.8,6.7,1.0,4,no
136,car,5.8,58.0,0.0,557,YES
139,car,157.5,193.6,108.6,10,YES
143,car,100.9,140.1,80.6,5,YES
145,car,72.3,128.1,24.6,70,YES
150,car,28.4,39.9,19.9,3,YES
151,car,21.7,45.0,1.2,19,YES
154,car,133.3,155.1,78.7,19,YES
155,car,5.9,54.8,0.0,489,YES
157,car,126.0,275.5,62.3,7,YES
162,car,17.2,32.1,2.7,27,YES
163,car,14.6,19.6,10.3,3,YES
165,car,121.3,155.8,79.3,22,YES
168,car,96.3,173.0,36.6,49,YES
171,car,75.1,113.8,28.0,8,YES
173,car,14.6,46.6,2.0,8,YES
176,car,118.8,243.2,50.3,48,YES
178,car,9.8,39.6,1.2,160,YES
180,car,71.9,130.2,37.7,68,YES
181,car,80.6,140.3,0.5,49,YES
185,car,6.5,115.2,0.0,199,YES
188,car,62.5,141.6,19.6,12,YES
192,car,24.5,28.0,21.0,2,YES
193,car,61.4,164.1,19.5,76,YES
194,car,43.4,43.4,43.4,1,YES
198,car,4.7,74.9,0.0,374,YES
199,car,78.6,141.5,35.4,57,YES
200,car,93.8,154.8,5.6,41,YES
203,car,11.2,31.9,1.6,32,YES
205,car,50.6,73.0,5.2,12,YES
206,car,3.5,8.1,0.5,7,no
208,car,110.8,164.0,69.2,32,YES
209,car,19.3,172.6,0.0,229,YES
210,car,27.7,71.8,8.4,29,YES
213,car,9.8,15.3,0.7,40,YES
214,car,11.8,21.9,0.8,39,YES
215,car,6.3,12.1,0.5,77,YES
216,car,5.6,67.5,0.4,267,YES
217,car,22.4,52.3,1.6,89,YES
218,car,12.4,30.6,0.8,10,YES
221,car,8.0,24.7,2.2,119,YES
222,car,8.2,21.4,2.7,10,YES
223,car,24.7,57.0,8.2,15,YES
